,,,,,Personnes déplacées internes,,,,,Personnes retournées de RCA (Ex-PDI),,,,,Personnes retournées en provenance d'autre pays,,,,,source d'information (Nbre),Qualité de la données,,,
_ADM1_NAME,_ADM2_NAME,_ADM3_NAME,_V_CODE,_Village,idps,hh_idp,ind_idp,abris_pdi_site,abris_pdi_hors_site,retournes,hh_ret_rca,ind_ret_rca,abris_ret_site,abris_ret_hors_site,retournes_etrangers,hh_ret_oth,ind_ret_oth,abris_reto_site,abris_reto_hors_site,Nbre_Informateurs_cles,coherence_informateurs,coherence_observation,existence_preuves,perception_enumerateur
Basse-Kotto,Alindao,Alindao,CF6121_NZO_0000,NZONIBE,non,0,0,0,0,oui,4,20,0,4,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Alindao,CF6121_PAG_0001,PAGUY 1,oui,60,300,0,60,oui,1,8,0,1,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Alindao,CF6121_RON_0002,RONGA 2,oui,40,125,0,40,oui,50,80,0,50,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Alindao,CF6121_RON_0003,RONGA 3,oui,19,95,0,19,oui,95,700,0,95,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Alindao,CF6121_VOU_0000,VOUNDJA DJOGO,oui,340,1700,340,0,non,0,0,0,0,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Bakou,CF6124_ANG_0001,ANGAZEU (KONGBO),oui,1375,6840,1375,0,oui,200,1000,0,200,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Bakou,CF6124_BAN_0001,BANDA DEKA,oui,406,2030,0,406,oui,287,1435,0,287,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Bakou,CF6124_ELI_0001,ELIM 1,oui,35,178,0,35,oui,94,472,0,94,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Bakou,CF6124_ELI_0002,ELIM 2,oui,114,573,114,0,oui,10,50,0,10,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Bakou,CF6124_KON_0001,KONGBO 1,oui,134,644,0,134,oui,50,250,0,50,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Bakou,CF6124_NGO_0001,NGONGO,oui,100,500,0,100,oui,24,120,0,24,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Bakou,CF6124_PAD_0001,PADA 2,oui,20,100,0,20,oui,156,780,0,156,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Bakou,CF6124_ZAR_0001,ZARAWA,oui,500,2500,0,500,oui,27,136,0,27,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Guiligui,CF6122_PAV_0001,PAVICA 16,oui,1333,6665,0,1333,oui,712,3560,0,712,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Kembé,Kembé,CF6131_MBI_0001,MBINGO,oui,396,1980,0,396,oui,31,155,0,31,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_BAN_0002,BANDA GBAZENGUE,non,0,0,0,0,oui,52,247,0,52,oui,9,35,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_BAN_0003,BANDA NGBANGOU,non,0,0,0,0,oui,20,84,0,20,oui,12,45,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_BAN_0004,BANDOU 1,oui,1,1,0,1,oui,31,148,0,31,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_BAN_0005,BANDOU 2,non,0,0,0,0,oui,70,273,0,70,oui,4,12,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_COU_0001,COURBE KPETENE,oui,2,6,0,2,non,0,0,0,0,oui,26,122,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_DJI_0001,DJIMANGOA,non,0,0,0,0,oui,66,260,0,66,oui,7,18,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_DOU_0001,DOUMADJIA,non,0,0,0,0,non,0,0,0,0,oui,34,179,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_GBA_0002,GBABI 2,oui,2,10,0,2,oui,33,193,0,33,oui,2,12,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_GBA_0003,GBAMA 1,oui,12,42,0,12,oui,166,720,0,166,oui,3,9,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_GBE_0001,GBEBI 1,non,0,0,0,0,oui,24,163,0,24,oui,4,20,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_GOA_0001,GOASSA,non,0,0,0,0,oui,27,105,0,27,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_IMA_0002,IMA 3 LONDO,oui,12,58,0,12,oui,75,367,0,75,oui,4,10,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_IMA_0003,IMA LISSI,non,0,0,0,0,oui,104,265,0,104,oui,25,52,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_IMA_0004,IMA ROUNGA,oui,12,60,0,12,oui,107,522,0,107,oui,7,22,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_KAN_0001,KANDJA,non,0,0,0,0,oui,39,174,0,39,oui,2,3,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_MBO_0002,MBOCHE 1,oui,3,6,0,3,oui,98,420,0,98,oui,8,24,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_MBO_0003,MBOCHE 2,oui,8,27,0,8,oui,81,571,0,81,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_OYE_0001,OYE 1,non,0,0,0,0,oui,79,679,0,79,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_YAB_0001,YABROU 1,oui,2,2,0,2,oui,96,392,0,96,oui,7,40,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mbelima,CF6112_YAM_0001,YAMA OTTO,non,0,0,0,0,oui,74,178,0,74,oui,24,40,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Mobaye,Mobaye,CF6111_COU_0001,COURBE LOBA,non,0,0,0,0,oui,31,238,0,31,oui,34,218,0,,3,oui_majorite,oui_majorite,en_partie,moyen
