,VillageAll,GPS.point,admin1Name,admin1Pcod,admin2,admin2Pcod,admin3Name,admin3Pcod,TotalPop_fixe,VillageAll_test,VillageAll_admin2
427,GALABADJA,"21.991405,6.537415",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,,28807.14344,galabadja,galabadja _ Bria
429,GOBOLO 2,"21.991405,6.537415",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,,27682.14344,gobolo2,gobolo2 _ Bria
433,BETIBOINDA 1,"16.5513119999999,7.252069",Ouham Pendï,CF31,Paoua,CF314,Paoua,,450.120393,betiboinda1,betiboinda1 _ Paoua
434,BEBOY 1,"16.458019,7.372372",Ouham Pendï,CF31,Paoua,CF314,Bah-Bessar,,1693.728956,beboy1,beboy1 _ Paoua
435,BARYA (GANG NDA),"16.7705939999999,7.23492",Ouham Pendï,CF31,Paoua,CF314,Nana-Barya,,361.942703,barya(gangnda),barya(gangnda) _ Paoua
437,FAH-VILLAGE,"18.981756,6.925971",Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Botto,,784,fah-village,fah-village _ Kaga-Bandoro
440,PATCHO 1,"19.001816,7.129495",Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Nana-Outa,,1732.537424,patcho1,patcho1 _ Kaga-Bandoro
441,BOUBOU 1,"19.232758,7.015726",Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Grivai-Pamia,,896.354498,boubou1,boubou1 _ Kaga-Bandoro
442,GREVAI 2,"19.443158,7.060761",Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Grivai-Pamia,,2917.10244,grevai2,grevai2 _ Kaga-Bandoro
443,KABA,"19.3842399999999,7.031841",Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Grivai-Pamia,,2060.925413,kaba,kaba _ Kaga-Bandoro
444,ZINDI,"19.409756,7.060455",Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Grivai-Pamia,,857.633278,zindi,zindi _ Kaga-Bandoro
445,KANGA,"19.4807419999999,6.683507",Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Ndenga,,2059.174893,kanga,kanga _ Kaga-Bandoro
446,MENGUE BOKENGUE,"19.191748,6.910103",Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Ndenga,,6308.470106,menguebokengue,menguebokengue _ Kaga-Bandoro
447,LEMANA 2,"20.6906779999999,8.448537",Bamingui-Bangoran,CF51,Ndele,CF511,Dar El Kouti,,941.566144,lemana2,lemana2 _ Ndele
448,SOKOUMBA,"20.669114,8.720995",Bamingui-Bangoran,CF51,Ndele,CF511,Dar El Kouti,,273.474885,sokoumba,sokoumba _ Ndele
449,ZOUKOUTOUNIALA 2,"20.612234,8.555723",Bamingui-Bangoran,CF51,Ndele,CF511,Dar El Kouti,,611.931462,zoukoutouniala2,zoukoutouniala2 _ Ndele
450,BANDOU 2,"21.2501439999999,4.448074",Basse-Kotto,CF61,Mobaye,CF611,Mbï¿½ï,,2598.935736,bandou2,bandou2 _ Mobaye
451,GBAMA 1,"21.217642,4.421153",Basse-Kotto,CF61,Mobaye,CF611,Mbï¿½ï,,1807.986015,gbama1,gbama1 _ Mobaye
452,KANDJA,"21.25911,4.437247",Basse-Kotto,CF61,Mobaye,CF611,Mbï¿½ï,,536.945559,kandja,kandja _ Mobaye
453,OYE 1,"21.2113419999999,4.394179",Basse-Kotto,CF61,Mobaye,CF611,Mbï¿½ï,,2187.343295,oye1,oye1 _ Mobaye
454,ZARAWA,"21.3112819999999,4.857598",Basse-Kotto,CF61,Alindao,CF612,Bakou,,2780.56685,zarawa,zarawa _ Alindao
455,YENZIA,"22.4249019999999,4.3931",Mbomou,CF62,Ouango,CF622,Ouango,,1191.63046,yenzia,yenzia _ Ouango
456,YOLOUNGOU,"22.60163,4.483679",Mbomou,CF62,Ouango,CF622,Ouango,,937.268437,yoloungou,yoloungou _ Ouango
457,BAGUINI,"22.3198359999999,4.647294",Mbomou,CF62,Gambo,CF623,Gambo,,207.695605,baguini,baguini _ Gambo
458,BAO,"22.359788,4.43599",Mbomou,CF62,Gambo,CF623,Gambo,,1202.366022,bao,bao _ Gambo
459,MBANGO,"22.2604979999999,4.663726",Mbomou,CF62,Gambo,CF623,Gambo,,1006.780278,mbango,mbango _ Gambo
460,MBRINGA,"22.25102,4.666756",Mbomou,CF62,Gambo,CF623,Gambo,,615.686495,mbringa,mbringa _ Gambo
461,SOCADA,"22.266444,4.654235",Mbomou,CF62,Gambo,CF623,Gambo,,493,socada,socada _ Gambo
462,PASSIKI,"22.7937639999999,5.686553",Mbomou,CF62,Bakouma,CF625,Bakouma,,429.201654,passiki,passiki _ Bakouma
463,KARE-BEE 2,"16.377882,6.312513",Ouham Pendï,CF31,Bozoum,CF311,Bozoum,,968.6142,kare-bee2,kare-bee2 _ Bozoum
464,KPETENE,"16.353869,6.335287",Ouham Pendï,CF31,Bozoum,CF311,Kouazo,,1091.438177,kpetene,kpetene _ Bozoum
465,MBIKE 2,"15.6588189999999,6.942794",Ouham Pendï,CF31,Bocaranga,CF312,Bocaranga,,265,mbike2,mbike2 _ Bocaranga
466,DJOGUEL,"15.4443769999999,6.934093",Ouham Pendï,CF31,Koui,CF313,Koui,,1562.243286,djoguel,djoguel _ Koui
467,PLATON,"16.429257,7.244836",Ouham Pendï,CF31,Paoua,CF314,Paoua,,80,platon,platon _ Paoua
468,ACADOP,"16.434175,7.245206",Ouham Pendï,CF31,Paoua,CF314,Paoua,,157.706798,acadop,acadop _ Paoua
469,AERODROME,"16.434175,7.245206",Ouham Pendï,CF31,Paoua,CF314,Paoua,,175,aerodrome,aerodrome _ Paoua
471,TALEY,"16.3786549999999,6.674431",Ouham Pendï,CF31,Paoua,CF314,Mom,,3890.583792,taley,taley _ Paoua
472,BEDAYA 1 (NDIMBAYA),"16.501871,7.462962",Ouham Pendï,CF31,Paoua,CF314,Bah-Bessar,,814,bedaya1(ndimbaya),bedaya1(ndimbaya) _ Paoua
473,AWAL 1,"20.68188,5.764254",Ouaka,CF43,Bambari,CF431,Bambari,,39612.51628,awal1,awal1 _ Bambari
474,AWAL 2,"20.680499,5.763568",Ouaka,CF43,Bambari,CF431,Bambari,,1947.380399,awal2,awal2 _ Bambari
475,CTRO,"20.6616089999999,5.760686",Ouaka,CF43,Bambari,CF431,Bambari,,2315.576627,ctro,ctro _ Bambari
476,GBIASSANGO,"20.6654149999999,5.766565",Ouaka,CF43,Bambari,CF431,Bambari,,103.266126,gbiassango,gbiassango _ Bambari
477,WANGAYE 1,"20.6814989999999,5.765261",Ouaka,CF43,Bambari,CF431,Bambari,,168.19125,wangaye1,wangaye1 _ Bambari
478, Carnot,"15.868541,4.939971",Mambï¿½ï¿½ï¿½,CF21,Carnot,CF213,Carnot,,36653.66586,carnot,carnot _ Carnot
479, Bouar,"15.592954,5.931157",Nana-Mambï¿½,CF22,Bouar,CF221,Herman-Brousse,,28378.02371,bouar,bouar _ Bouar
480, Garoua,"15.197208,5.823887",Nana-Mambï¿½,CF22,Bouar,CF221,Bï¿½ï¿½ï,,1549.249896,garoua,garoua _ Bouar
481, Bria,"21.991405,6.537415",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,,25832.14344,bria,bria _ Bria
483,GOZAMAR,"20.625,8.423889",Bamingui-Bangoran,,Ndele,,Dar-El-Kouti,,302,gozamar,gozamar _ Ndele
485,KONGO 2,"21.214987,5.042049",Basse-Kotto,,Alindao,,Alindao,,4175,kongo2,kongo2 _ Alindao
486,MISSION CATHOLIQUE,"21.214987,5.042049",Basse-Kotto,,Alindao,,Alindao,,25645,missioncatholique,missioncatholique _ Alindao
488,Site Elim,"21.214987,5.042049",Basse-kotto,,Alindao,,Alindao,,2627,siteelim,siteelim _ Alindao
490,VOUNDJA DJOGO,"21.214987,5.042049",Basse-Kotto,,Alindao,,Alindao,,1700,voundjadjogo,voundjadjogo _ Alindao
491,ANGAZEU (KONGBO),"21.36464,4.772754",Basse-Kotto,,Alindao,,Bakou,,6840,angazeu(kongbo),angazeu(kongbo) _ Alindao
493,Eglise Catholique,"21.991405,6.537415",Haute-Kotto,,Bria,,Bria,,464,eglisecatholique,eglisecatholique _ Bria
494,Eglise CEBI 1,"21.991405,6.537415",Haute-Kotto,,Bria,,Bria,,215,eglisecebi1,eglisecebi1 _ Bria
495,Eglise CEBI 3,"21.991405,6.537415",Haute-Kotto,,Bria,,Bria,,614,eglisecebi3,eglisecebi3 _ Bria
496,Hopital de Bria,"21.991405,6.537415",Haute-Kotto,,Bria,,Bria,,345,hopitaldebria,hopitaldebria _ Bria
497,PK 3,"21.991405,6.537415",Haute-Kotto,,Bria,,Bria,,50030,pk3,pk3 _ Bria
498,BAMBITO,"26.4946389999999,5.403851",Haut-Mbomou,,Obo,,Obo,,655,bambito,bambito _ Obo
499,Boyo,"26.4946389999999,5.403851",Haut-Mbomou,,Obo,,Obo,,870,boyo,boyo _ Obo
500,Gambo,"26.4946389999999,5.403851",Haut-Mbomou,,Obo,,Obo,,563,gambo,gambo _ Obo
501,Gougbere,"26.4946389999999,5.403851",Haut-Mbomou,,Obo,,Obo,,2205,gougbere,gougbere _ Obo
502,MOTOPI,"26.4946389999999,5.403851",Haut-Mbomou,,Obo,,Obo,,833,motopi,motopi _ Obo
503,NAKPANGA,"26.4946389999999,5.403851",Haut-Mbomou,,Obo,,Obo,,1274,nakpanga,nakpanga _ Obo
504,Nguilinguili,"26.4946389999999,5.403851",Haut-Mbomou,,Obo,,Obo,,455,nguilinguili,nguilinguili _ Obo
505,Gendarmerie,"25.1294229999999,5.024257",Haut-Mbomou,,Zemio,,Zemio,,2161,gendarmerie,gendarmerie _ Zemio
506,ARGUE,"25.1294229999999,5.024257",Haut-Mbomou,,Zemio,,Zï¿½ï,,3821,argue,argue _ Zemio
508,AIM,"23.933396,4.969394",Mbomou,,Rafai,,Rafaï,,1265,aim,aim _ Rafai
509,BINGBA 3,"23.933396,4.969394",Mbomou,,Rafai,,Rafaï,,3466,bingba3,bingba3 _ Rafai
510,SANDOU,"23.933396,4.969394",Mbomou,,Rafai,,Rafaï,,2830,sandou,sandou _ Rafai
512,LAZARE,"19.1915429999999,6.990379",Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,7795,lazare,lazare _ Kaga-Bandoro
513,MBELLA,"19.1915429999999,6.990379",Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,1012,mbella,mbella _ Kaga-Bandoro
514,Minusca,"19.1915429999999,6.990379",Nana-Gribizi,,Kaga-Bandoro,,Kaga-Bandoro,,12621,minusca,minusca _ Kaga-Bandoro
515,CAMP ELEVAGE,"20.654183,5.764845",Ouaka,,Bambari,,Bambari,,9009,campelevage,campelevage _ Bambari
517,KIDJIGRA 1,"20.654183,5.764845",Ouaka,,Bambari,,Bambari,,2948,kidjigra1,kidjigra1 _ Bambari
518,MINUSCA PK 8,"20.654183,5.764845",Ouaka,,Bambari,,Bambari,,2009,minuscapk8,minuscapk8 _ Bambari
519,Site alternatif (Misca),"20.654183,5.764845",Ouaka,,Bambari,,Bambari,,3784,sitealternatif(misca),sitealternatif(misca) _ Bambari
520,MALOUM 1,"21.162894,5.933953",Ouaka,,Bambari,,Danga-Gboudou,,8330,maloum1,maloum1 _ Bambari
521,AVIATION,"20.657,5.803",Ouaka,,Bambari,,Pladama-Ouaka,,4957,aviation,aviation _ Bambari
522,NGALINGOU,"20.632612,5.815401",Ouaka,,Bambari,,Pladama-Ouaka,,2477,ngalingou,ngalingou _ Bambari
526,Maison des jeunes,"18.285135,7.300987",Ouham,,Batangafo,,Batangafo,,3658,maisondesjeunes,maisondesjeunes _ Batangafo
527,Zibo Bagga,"18.285135,7.300987",Ouham,,Batangafo,,Batangafo,,2002,zibobagga,zibobagga _ Batangafo
529,Ndoubou,"18.3209,7.3141",Ouham,,Batangafo,,Ouassi,,174,ndoubou,ndoubou _ Batangafo
530,Kawa,"18.478824,6.807425",Ouham,,Bouca,, Bouca Maraze,,250,kawa,kawa _ Bouca
531,Gbakaya,"18.308738,6.874992",Ouham,,Bouca,,Lady Gbawi,,1265,gbakaya,gbakaya _ Bouca
532,Lady B,"18.347196,7.036628",Ouham,,Bouca,,Lady Gbawi,,303,ladyb,ladyb _ Bouca
533,Farazala B,"18.74324,7.38043",Ouham,,Kabo,,Kabo,,21,farazalab,farazalab _ Kabo
534,site C (cite de la paix),"18.626926,7.695467",Ouham,,Kabo,,Sido,,2640,sitec(citedelapaix),sitec(citedelapaix) _ Kabo
535, Niango 1,"20.189118,7.584989",Bamingui-Bangoran,CF51,Bamingui,CF512,Vassako,CF5121,595.340896,niango1,niango1 _ Bamingui
538, Batali,"17.2319339999999,4.176354",Lobaye,CF12,Boda,CF123,Lobaye,CF1232,666.945044,batali,batali _ Boda
539, Samandoro,"17.400528,4.284795",Lobaye,CF12,Boda,CF123,Lobaye,CF1232,618.144187,samandoro,samandoro _ Boda
540, Unknown 20,"17.518611,4.318194",Lobaye,CF12,Boda,CF123,Lobaye,CF1232,333.472522,unknown20,unknown20 _ Boda
541, Bekagbassem,"17.1223199999999,4.99837",Lobaye,CF12,Boganangone,CF124,Boganangone,CF1241,365.485368,bekagbassem,bekagbassem _ Boganangone
542, Belou 2,"18.0808539999999,3.792038",Lobaye,CF12,Mbaiki,CF121,Mbata,CF1212,422.811693,belou2,belou2 _ Mbaiki
543, Boumou,"18.2731579999999,4.262177",Lobaye,CF12,Mbaiki,CF121,Pissa,CF1213,548.510078,boumou,boumou _ Mbaiki
546, Degbe-Maina,"16.014899,4.966469",Mambï¿½ï¿½ï¿½,CF21,Carnot,CF213,Carnot,CF2131,274.559295,degbe-maina,degbe-maina _ Carnot
551, Madigui,"22.84198,5.681352",Mbomou,CF62,Bakouma,CF625,Bakouma,CF6251,806.519111,madigui,madigui _ Bakouma
552, Bozou,"19.865676,6.824671",Nana-Gribizi,CF42,Mbres,CF422,Mbrï¿,CF4221,324.291342,bozou,bozou _ Mbres
554, Sebokele 3,"18.382694,4.1794",Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,384.479636,sebokele3,sebokele3 _ Bimbo
555, Didango,"18.0046,4.714381",Ombella M'Poko,CF11,Boali,CF114,Boali,CF1141,262.070062,didango,didango _ Boali
556, Bogbaloko,"17.696224,5.23129",Ombella M'Poko,CF11,Bossembele,CF115,Bossembï¿½,CF1151,444.758499,bogbaloko,bogbaloko _ Bossembele
557, Bondio 2,"17.626652,5.439089",Ombella M'Poko,CF11,Bossembele,CF115,Bossembï¿½,CF1151,324.146025,bondio2,bondio2 _ Bossembele
558, Bossogbien 1,"17.610596,5.647876",Ombella M'Poko,CF11,Bossembele,CF115,Bossembï¿½,CF1151,346.760864,bossogbien1,bossogbien1 _ Bossembele
559, Bongbara,"16.988772,5.381371",Ombella M'Poko,CF11,Yaloke,CF116,Guï¿½ï¿,CF1162,524.942781,bongbara,bongbara _ Yaloke
560, Mindoukota,"20.007204,5.753002",Ouaka,CF43,Grimari,CF433,Grimari,CF4331,250.02722,mindoukota,mindoukota _ Grimari
561, Domo,"21.1471139999999,6.155616",Ouaka,CF43,Ippy,CF435,Baidou-Ngoumbourou,CF4353,331.808263,domo,domo _ Ippy
563, Bodigui,"17.2088539999999,6.458617",Ouham,CF32,Bossangoa,CF321,Ouham Bac,CF3215,318.993503,bodigui,bodigui _ Bossangoa
564, Koya,"15.7284869999999,6.878783",Ouham Pendï,CF31,Bocaranga,CF312,Pï¿½ï,CF3123,280.970222,koya,koya _ Bocaranga
565,NZAPA A HON YORO,"15.6589329999999,6.939271",Ouham Pendï,CF31,Bocaranga,CF312,Bocaranga,CF3121,167.18758,nzapaahonyoro,nzapaahonyoro _ Bocaranga
566,GBANDENGUE,"16.381675,6.233071",Ouham Pendï,CF31,Bossemtele,CF316,Binon,CF3161,173.505874,gbandengue,gbandengue _ Bossemtele
567, Hay,"16.234044,6.323566",Ouham Pendï,CF31,Bozoum,CF311,Danayï¿½,CF3115,258.45444,hay,hay _ Bozoum
568, Unknown 58,"16.4093009999999,6.370958",Ouham Pendï,CF31,Bozoum,CF311,Dan-Gbabiri,CF3112,663.414063,unknown58,unknown58 _ Bozoum
569,MID-MISSION,"16.3715009999999,6.317324",Ouham Pendï,CF31,Bozoum,CF311,Bozoum,CF3111,585,mid-mission,mid-mission _ Bozoum
570,TABALE,"16.383807,6.307287",Ouham Pendï,CF31,Bozoum,CF311,Bozoum,CF3111,57.350587,tabale,tabale _ Bozoum
571,ZAZA,"16.3841949999999,6.313351",Ouham Pendï,CF31,Bozoum,CF311,Bozoum,CF3111,163,zaza,zaza _ Bozoum
572, Arabe,"17.4402019999999,6.078201",Ouham,CF32,Bossangoa,CF321,Koro-M'poko,CF3213,801.341188,arabe,arabe _ Bossangoa
573, Bedobo,"16.9585919999999,6.844022",Ouham,CF32,Bossangoa,CF321,Ndoro Mboli,CF3216,1029.776342,bedobo,bedobo _ Bossangoa
575, Gbehinni,"16.7978659999999,6.717327",Ouham,CF32,Bossangoa,CF321,Ndoro Mboli,CF3216,1106.07748,gbehinni,gbehinni _ Bossangoa
576, Gbele Kota,"17.4423379999999,6.18976",Ouham,CF32,Bossangoa,CF321,Koro-M'poko,CF3213,301.256086,gbelekota,gbelekota _ Bossangoa
577, Gpt Gbakora,"17.589022,6.853605",Ouham,CF32,Bossangoa,CF321,Ben Zambï,CF3214,1023.394116,gptgbakora,gptgbakora _ Bossangoa
422, Beya,"18.479614,6.509642",Ouham,CF32,Bouca,CF325,Bouca Bobo,CF3251,543.7840879,beya,beya _ Bouca
4601, Birao,"22.793377,10.273031",Vakaga,CF53,Birao,CF531,Ridina,CF5311,1461.574813,birao,birao _ Birao
1848, Tagnagna,"22.469703,10.263588",Vakaga,CF53,Birao,CF531,Ridina,CF5311,256.9498253,tagnagna,tagnagna _ Birao
1599, Mobaye,"21.17619,4.3204",Basse-Kotto,CF61,Mobaye,CF611,Mobaye,CF6111,9170.921098,mobaye,mobaye _ Mobaye
1302, Kaga-Bandoro,"19.191543,6.990379",Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Kaga-Bandoro,CF4211,15288.09035,kaga-bandoro,kaga-bandoro _ Kaga-Bandoro
2368,POPULAIRE 1,"15.4461705,6.9365351",Ouham Pendï¿,CF31,Koui,CF313,Koui,CF3131,1210,populaire1,populaire1 _ Koui
736, Bondo,"22.728686,4.742001",Mbomou,CF62,Bangassou,CF621,Sayo Niakari,CF6212,1165.606379,bondo,bondo _ Bangassou
1798, Rafaï¿,"23.928373,4.970849",Mbomou,CF62,Rafai,CF624,Rafai,CF6241,4670.879503,rafai,rafai _ Rafai
1459, La Bamba,"19.148594,5.352076",Kï¿½ï,CF41,Ndjoukou,CF414,Galafondo,CF4141,701.8116238,labamba,labamba _ Ndjoukou
1337, Kassia,"19.169922,5.232269",Kï¿½ï,CF41,Ndjoukou,CF414,Galafondo,CF4141,572.7428194,kassia,kassia _ Ndjoukou
1113, Gbading,"15.241263,5.403474",Nana-Mambï¿½ï¿,CF22,Abba,CF224,Abba,CF2241,953.4545094,gbading,gbading _ Abba
905, Camp-Coupeurs,"20.713128,5.318977",Ouaka,CF43,Kouango,CF434,Cochio-Toulou,CF4343,307.9284201,camp-coupeurs,camp-coupeurs _ Kouango
584, Bogaza,"17.137822,7.024826",Ouham,CF32,Nangha Boguila,CF324,Nangha Boguila,CF3241,737.96901,bogaza,bogaza _ Nangha-Boguila
1121, Gbago,"18.64224,4.794346",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,2089.319901,gbago,gbago _ Damara
1718, Ngoubi,"21.85379,6.526124",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,CF5211,1014.268209,ngoubi,ngoubi _ Bria
631, Ayerokpo,"22.007214,6.600572",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,CF5211,1210.782674,ayerokpo,ayerokpo _ Bria
1421, Balanga,"22.142564,6.520598",Haute-Kotto,CF52,Bria,CF521,Daba Nydou,CF5212,391.5674152,balanga,balanga _ Bria
1471, Lego,"22.868906,5.680234",Mbomou,CF62,Bakouma,CF625,Bakouma,CF6251,565.6835434,lego,lego _ Bakouma
4731, Boali,"18.001717,4.87725",Ombella M'Poko,CF11,Boali,CF114,Boali,CF1141,5252.795584,boali,boali _ Boali
1781, Pate,"15.906039,5.599073",Nana-Mambï¿½ï¿,CF22,Baoro,CF222,Yoro-Samba Bougoulou,CF2222,380.7705592,pate,pate _ Baoro
751, Bongombe,"18.125926,4.045127",Lobaye,CF12,Mbaï¿½ï,CF121,Pissa,CF1213,869.5891474,bongombe,bongombe _ Mbaiki
1787, Pissa,"18.20238,4.052978",Lobaye,CF12,Mbaï¿½ï,CF121,Pissa,CF1213,5418.209303,pissa,pissa _ Mbaiki
1191, Gbouma,"20.97865,4.44742",Basse-Kotto,CF61,Zangba,CF615,Ouambï¿,CF6151,1544.581033,gbouma,gbouma _ Zangba
2771, Batangafo,"18.285135,7.300987",Ouham,CF32,Batangafo,CF326,Batangafo,CF3261,18498.50665,batangafo,batangafo _ Batangafo
1164, Gbazara,"18.436268,7.459128",Ouham,CF32,Batangafo,CF326,Ouassi,CF3264,1384.915555,gbazara,gbazara _ Batangafo
808, Botongo,"18.378562,7.323491",Ouham,CF32,Batangafo,CF326,Ouassi,CF3264,432.786111,botongo,botongo _ Batangafo
587, Bogbafio,"18.348344,7.096869",Ouham,CF32,Batangafo,CF326,Ouassi,CF3264,442.4035802,bogbafio,bogbafio _ Batangafo
686, Bolhom 1,"18.322452,7.209886",Ouham,CF32,Batangafo,CF326,Ouassi,CF3264,490.4909258,bolhom1,bolhom1 _ Batangafo
1067, Gaga,"16.98192,5.491056",Ombella M'Poko,CF11,Yalokï¿,CF116,Guï¿½ï¿½ï,CF1162,2937.724207,gaga,gaga _ Yaloke
1707, Ngogbara,"15.823781,4.896845",Mambï¿½ï¿½ï¿½ï¿½ï,CF21,Carnot,CF213,Carnot,CF2131,558.2705662,ngogbara,ngogbara _ Carnot
1084, Ganli,"15.795254,4.854045",Mambï¿½ï¿½ï¿½ï¿½ï,CF21,Carnot,CF213,Carnot,CF2131,503.3587072,ganli,ganli _ Carnot
4241, Beyele,"15.813334,4.727885",Mambï¿½ï¿½ï¿½ï¿½ï,CF21,Carnot,CF213,Carnot,CF2131,411.8389423,beyele,beyele _ Carnot
1251, Bakala,"16.867952,5.193678",Mambï¿½ï¿½ï¿½ï¿½ï,CF21,Gadzi,CF217,Mbali,CF2172,310.5363819,bakala,bakala _ Gadzi
1066, Gadzi,"16.704898,4.779685",Mambï¿½ï¿½ï¿½ï¿½ï,CF21,Gadzi,CF217,Topia,CF2171,2245.925176,gadzi,gadzi _ Gadzi
1274, Guen,"16.618011,4.791853",Mambï¿½ï¿½ï¿½ï¿½ï,CF21,Gadzi,CF217,Topia,CF2171,9738.796239,guen,guen _ Gadzi
1666, Ndinguiri,"16.336991,4.886027",Mambï¿½ï¿½ï¿½ï¿½ï,CF21,Gadzi,CF217,Topia,CF2171,6311.824202,ndinguiri,ndinguiri _ Gadzi
1622, Moussa-Ngoe,"15.245855,4.207054",Mambï¿½ï¿½ï¿½ï¿½ï,CF21,Gamboula,CF212,Basse-Boumnï¿,CF2121,263.6193866,moussa-ngoe,moussa-ngoe _ Gamboula
1029, Doubanga,"15.320423,4.242341",Mambï¿½ï¿½ï¿½ï¿½ï,CF21,Gamboula,CF212,Basse-Boumnï¿,CF2121,501.3937353,doubanga,doubanga _ Gamboula
1627, Nabimon,"15.270685,4.215249",Mambï¿½ï¿½ï¿½ï¿½ï,CF21,Gamboula,CF212,Basse-Boumnï¿,CF2121,403.1825913,nabimon,nabimon _ Gamboula
1997, Yawa,"17.09362,4.351706",Lobaye,CF12,Boganda,CF125,Boganda,CF1251,3297.307529,yawa,yawa _ Boganda
883, Boyo,"17.317474,4.389415",Lobaye,CF12,Boganda,CF125,Boganda,CF1251,344.9311068,boyo,boyo _ Boganda
439, Bidou 1,"21.693528,4.466937",Basse-Kotto,CF61,Kembï¿,CF613,Mboui,CF6132,2834.383313,bidou1,bidou1 _ Kembe
1221, Gouala,"21.715856,4.540071",Basse-Kotto,CF61,Kembï¿,CF613,Mboui,CF6132,444.9677029,gouala,gouala _ Kembe
852, Boungba 1,"21.686666,4.372766",Basse-Kotto,CF61,Satï¿½ï,CF616,Kotto-Oubangui,CF6161,366.8175365,boungba1,boungba1 _ Satema
964, Deou,"21.78275,4.333059",Basse-Kotto,CF61,Satï¿½ï,CF616,Kotto-Oubangui,CF6161,499.7011752,deou,deou _ Satema
2741, Batalimo,"18.459086,3.681567",Lobaye,CF12,Mongoumba,CF122,Mongoumba,CF1221,2857.225257,batalimo,batalimo _ Mongoumba
1346, Keli 1,"17.633552,4.199979",Lobaye,CF12,Boda,CF123,Lobaye,CF1232,2684.047129,keli1,keli1 _ Boda
231,HAOUSSA 2,,Bamingui-Bangoran,,ndele,,,,159,haoussa2,haoussa2 _ ndele
2710,NGADJA,,Bamingui-Bangoran,,ndele,,,,353,ngadja,ngadja _ ndele
785,NGAKOBO,,Ouaka,,bambari,,,,6983,ngakobo,ngakobo _ bambari
5431,GOBONGO 2,,Nana-Gribizi,,kaga-bandoro,,,,325,gobongo2,gobongo2 _ kaga-bandoro
524,BAIPO 1,,Nana-Gribizi,,kaga-bandoro,,,,247,baipo1,baipo1 _ kaga-bandoro
5271,BAKOUTE,,Nana-Gribizi,,kaga-bandoro,,,,460,bakoute,bakoute _ kaga-bandoro
5391,GANAMA,,Nana-Gribizi,,kaga-bandoro,,,,764,ganama,ganama _ kaga-bandoro
5711,YANENDJI,,Nana-Gribizi,,kaga-bandoro,,,,462,yanendji,yanendji _ kaga-bandoro
5681,TYPOYEUR,,Nana-Gribizi,,kaga-bandoro,,,,1910,typoyeur,typoyeur _ kaga-bandoro
958,BENE,,Ouham Pendï,,ngaoundaye,,,,182,bene,bene _ ngaoundaye
807,GOYA,,Ouaka,,kouango,,,,1220,goya,goya _ kouango
809,LINDAO,,Ouaka,,kouango,,,,1016,lindao,lindao _ kouango
2391,BALIGUINI,,Mbomou,,bakouma,,,,104,baliguini,baliguini _ bakouma
12,YAMBALA,,Bamingui-Bangoran,,bamingui,,,,109,yambala,yambala _ bamingui
5341,Haoussa2,,Bamingui_Bangoran,,Ndele,,Dar_El_Kouti,,995.8423573,haoussa2,haoussa2 _ Ndele
5351,Ngadja,,Bamingui_Bangoran,,Ndele,,Dar_El_Kouti,,995.8423573,ngadja,ngadja _ Ndele
536,pk6Babanon,,Ouham,,Bouca,,Fafa_Boungou,,853.8208611,pk6babanon,pk6babanon _ Bouca
537,Ngakobo,,Ouaka,,Bambari,,Cochio_Toulou,,1556.00411,ngakobo,ngakobo _ Bambari
5381,GOBONGO2,,Nana_Gribizi,,Kaga-Bandoro,,Kaga_Bandoro,,1531.663913,gobongo2,gobongo2 _ Kaga-Bandoro
5392,BAIPO1,,Nana_Gribizi,,Kaga-Bandoro,,Kaga_Bandoro,,1531.663913,baipo1,baipo1 _ Kaga-Bandoro
5401,BAKOUTE,,Nana_Gribizi,,Kaga-Bandoro,,Kaga_Bandoro,,1531.663913,bakoute,bakoute _ Kaga-Bandoro
5411,Ganama,,Nana_Gribizi,,Kaga-Bandoro,,Kaga_Bandoro,,1531.663913,ganama,ganama _ Kaga-Bandoro
5421,YANENDJI,,Nana_Gribizi,,Kaga-Bandoro,,Kaga_Bandoro,,1531.663913,yanendji,yanendji _ Kaga-Bandoro
5432,TYPOYEUR,,Nana_Gribizi,,Kaga-Bandoro,,Kaga_Bandoro,,1531.663913,typoyeur,typoyeur _ Kaga-Bandoro
544,Banguï¿½,,Ouaka,,Bakala,,Koudou_Bego,,1352.785973,banguela,banguela _ Bakala
