PName1,PName2,PName3,PName4,RowcaCode4,DESCRIPTIO,CNTRY_NAME,ADM1_NAME,ADM2_NAME,ADM3_NAME,RowcaCode1,RowcaCode2,RowcaCode3
Pierlat, ,0,0,CAF0430040020098,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Plantation Guerengomba, ,0,0,CAF0430040020099,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Roda, ,0,0,CAF0430040020100,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Scao 1, ,0,0,CAF0430040020101,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Scao 2, ,0,0,CAF0430040020102,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Scao 3, ,0,0,CAF0430040020103,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Scao 4, ,0,0,CAF0430040020104,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Sema, ,0,0,CAF0430040020105,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Singah, ,0,0,CAF0430040020106,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Siova,Sioua 1,0,0,CAF0430040020107,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Soua 2, ,0,0,CAF0430040020108,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Tohou-Bac, ,0,0,CAF0430040020109,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Tomba, ,0,0,CAF0430040020110,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Villy, ,0,0,CAF0430040020111,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Yamaka, ,0,0,CAF0430040020112,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Yao, ,0,0,CAF0430040020113,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Zimbala 1, ,0,0,CAF0430040020114,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Zimbala 2, ,0,0,CAF0430040020115,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Zimbala 3, ,0,0,CAF0430040020116,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
