"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"417","ig_9_hote_fa","ig_8_statut_groupe","non","retournes",0.8116506482516,NA,NA,NA,"admin_0","RCA"
"517","ig_9_hote_fa","ig_8_statut_groupe","nsp","retournes",0.00315869669929253,NA,NA,NA,"admin_0","RCA"
"617","ig_9_hote_fa","ig_8_statut_groupe","oui","retournes",0.185190655049108,NA,NA,NA,"admin_0","RCA"
"dependent.var5","ig_10_hote_fa_0_4","ig_8_statut_groupe",NA,"retournes",1.3601761532878,NA,NA,NA,"admin_0","RCA"
"dependent.var12","ig_10_hote_fa_0_4","ig_8_statut_groupe",NA,"hote",1.27104811633383,NA,NA,NA,"admin_0","RCA"
"dependent.var6","ig_10_hote_fa_5_17","ig_8_statut_groupe",NA,"retournes",1.65021758724182,NA,NA,NA,"admin_0","RCA"
"dependent.var13","ig_10_hote_fa_5_17","ig_8_statut_groupe",NA,"hote",1.35064917781395,NA,NA,NA,"admin_0","RCA"
"dependent.var7","ig_10_hote_fa_18plus","ig_8_statut_groupe",NA,"retournes",1.10891672777746,NA,NA,NA,"admin_0","RCA"
"dependent.var14","ig_10_hote_fa_18plus","ig_8_statut_groupe",NA,"hote",1.16614379237353,NA,NA,NA,"admin_0","RCA"
"136","bache","ig_8_statut_groupe","non","deplaces_FA",0.883200682461725,NA,NA,NA,"admin_0","RCA"
"219","bache","ig_8_statut_groupe","oui","deplaces_FA",0.116799317538275,NA,NA,NA,"admin_0","RCA"
"319","bache","ig_8_statut_groupe","non","deplaces_site",0.741973196814425,NA,NA,NA,"admin_0","RCA"
"418","bache","ig_8_statut_groupe","oui","deplaces_site",0.258026803185575,NA,NA,NA,"admin_0","RCA"
"518","bache","ig_8_statut_groupe","non","hote",0.872838409285551,NA,NA,NA,"admin_0","RCA"
"618","bache","ig_8_statut_groupe","oui","hote",0.127161590714449,NA,NA,NA,"admin_0","RCA"
"717","bache","ig_8_statut_groupe","non","retournes",0.917677368817655,NA,NA,NA,"admin_0","RCA"
"817","bache","ig_8_statut_groupe","oui","retournes",0.0823226311823452,NA,NA,NA,"admin_0","RCA"
"137","kit_cuisine","ig_8_statut_groupe","aucun","deplaces_FA",0.185712079640613,NA,NA,NA,"admin_0","RCA"
"220","kit_cuisine","ig_8_statut_groupe","complet","deplaces_FA",0.0121024833161509,NA,NA,NA,"admin_0","RCA"
"320","kit_cuisine","ig_8_statut_groupe","incomp","deplaces_FA",0.802185437043236,NA,NA,NA,"admin_0","RCA"
"419","kit_cuisine","ig_8_statut_groupe","aucun","deplaces_site",0.1083317101692,NA,NA,NA,"admin_0","RCA"
"519","kit_cuisine","ig_8_statut_groupe","complet","deplaces_site",0.0216359845080105,NA,NA,NA,"admin_0","RCA"
"619","kit_cuisine","ig_8_statut_groupe","incomp","deplaces_site",0.870032305322789,NA,NA,NA,"admin_0","RCA"
"718","kit_cuisine","ig_8_statut_groupe","aucun","hote",0.134799067490808,NA,NA,NA,"admin_0","RCA"
"818","kit_cuisine","ig_8_statut_groupe","complet","hote",0.0179649220910906,NA,NA,NA,"admin_0","RCA"
"914","kit_cuisine","ig_8_statut_groupe","incomp","hote",0.847236010418102,NA,NA,NA,"admin_0","RCA"
"1013","kit_cuisine","ig_8_statut_groupe","aucun","retournes",0.130272009880902,NA,NA,NA,"admin_0","RCA"
"1113","kit_cuisine","ig_8_statut_groupe","complet","retournes",0.0115059906840031,NA,NA,NA,"admin_0","RCA"
"1212","kit_cuisine","ig_8_statut_groupe","incomp","retournes",0.858221999435095,NA,NA,NA,"admin_0","RCA"
"138","habits_femmes_enfants","ig_8_statut_groupe","aucun","deplaces_FA",0.0704789014497835,NA,NA,NA,"admin_0","RCA"
"221","habits_femmes_enfants","ig_8_statut_groupe","incomp","deplaces_FA",0.763601246922967,NA,NA,NA,"admin_0","RCA"
"321","habits_femmes_enfants","ig_8_statut_groupe","tous","deplaces_FA",0.165919851627249,NA,NA,NA,"admin_0","RCA"
"420","habits_femmes_enfants","ig_8_statut_groupe","aucun","deplaces_site",0.111829572382199,NA,NA,NA,"admin_0","RCA"
"520","habits_femmes_enfants","ig_8_statut_groupe","incomp","deplaces_site",0.793902369587316,NA,NA,NA,"admin_0","RCA"
"620","habits_femmes_enfants","ig_8_statut_groupe","tous","deplaces_site",0.0942680580304848,NA,NA,NA,"admin_0","RCA"
"719","habits_femmes_enfants","ig_8_statut_groupe","aucun","hote",0.0668581284637838,NA,NA,NA,"admin_0","RCA"
"819","habits_femmes_enfants","ig_8_statut_groupe","incomp","hote",0.72808974047528,NA,NA,NA,"admin_0","RCA"
"915","habits_femmes_enfants","ig_8_statut_groupe","tous","hote",0.205052131060936,NA,NA,NA,"admin_0","RCA"
"1014","habits_femmes_enfants","ig_8_statut_groupe","aucun","retournes",0.108662628309288,NA,NA,NA,"admin_0","RCA"
"1114","habits_femmes_enfants","ig_8_statut_groupe","incomp","retournes",0.734906829974527,NA,NA,NA,"admin_0","RCA"
"1213","habits_femmes_enfants","ig_8_statut_groupe","tous","retournes",0.156430541716185,NA,NA,NA,"admin_0","RCA"
"139","doc_legale","ig_8_statut_groupe","aucun","deplaces_FA",0.467835463831713,NA,NA,NA,"admin_0","RCA"
"222","doc_legale","ig_8_statut_groupe","incomp","deplaces_FA",0.384298359641573,NA,NA,NA,"admin_0","RCA"
"322","doc_legale","ig_8_statut_groupe","tous","deplaces_FA",0.147866176526714,NA,NA,NA,"admin_0","RCA"
"421","doc_legale","ig_8_statut_groupe","aucun","deplaces_site",0.677338355528492,NA,NA,NA,"admin_0","RCA"
"521","doc_legale","ig_8_statut_groupe","incomp","deplaces_site",0.249204784175053,NA,NA,NA,"admin_0","RCA"
"621","doc_legale","ig_8_statut_groupe","tous","deplaces_site",0.0734568602964556,NA,NA,NA,"admin_0","RCA"
"720","doc_legale","ig_8_statut_groupe","aucun","hote",0.381443356875907,NA,NA,NA,"admin_0","RCA"
"820","doc_legale","ig_8_statut_groupe","incomp","hote",0.392293657379683,NA,NA,NA,"admin_0","RCA"
"916","doc_legale","ig_8_statut_groupe","tous","hote",0.22626298574441,NA,NA,NA,"admin_0","RCA"
"1015","doc_legale","ig_8_statut_groupe","aucun","retournes",0.505622754670688,NA,NA,NA,"admin_0","RCA"
"1115","doc_legale","ig_8_statut_groupe","incomp","retournes",0.374198095840347,NA,NA,NA,"admin_0","RCA"
"1214","doc_legale","ig_8_statut_groupe","tous","retournes",0.120179149488965,NA,NA,NA,"admin_0","RCA"
"dependent.var8","doc_legale_nb_filles","ig_8_statut_groupe",NA,"hote",0.815741025352984,NA,NA,NA,"admin_0","RCA"
"dependent.var15","doc_legale_nb_filles","ig_8_statut_groupe",NA,"retournes",0.595946387774567,NA,NA,NA,"admin_0","RCA"
"dependent.var22","doc_legale_nb_filles","ig_8_statut_groupe",NA,"deplaces_site",0.766405814602888,NA,NA,NA,"admin_0","RCA"
"dependent.var32","doc_legale_nb_filles","ig_8_statut_groupe",NA,"deplaces_FA",0.89813675422624,NA,NA,NA,"admin_0","RCA"
"dependent.var9","doc_legale_nb_garcons","ig_8_statut_groupe",NA,"hote",0.827537645366962,NA,NA,NA,"admin_0","RCA"
"dependent.var16","doc_legale_nb_garcons","ig_8_statut_groupe",NA,"retournes",0.683009956111272,NA,NA,NA,"admin_0","RCA"
"dependent.var23","doc_legale_nb_garcons","ig_8_statut_groupe",NA,"deplaces_site",0.736510411288376,NA,NA,NA,"admin_0","RCA"
"dependent.var33","doc_legale_nb_garcons","ig_8_statut_groupe",NA,"deplaces_FA",0.822732432860232,NA,NA,NA,"admin_0","RCA"
"dependent.var10","doc_legale_nb_femmes","ig_8_statut_groupe",NA,"hote",0.545308834577609,NA,NA,NA,"admin_0","RCA"
"dependent.var17","doc_legale_nb_femmes","ig_8_statut_groupe",NA,"retournes",0.438996907523248,NA,NA,NA,"admin_0","RCA"
"dependent.var24","doc_legale_nb_femmes","ig_8_statut_groupe",NA,"deplaces_site",0.347351092529534,NA,NA,NA,"admin_0","RCA"
"dependent.var34","doc_legale_nb_femmes","ig_8_statut_groupe",NA,"deplaces_FA",0.619772859718644,NA,NA,NA,"admin_0","RCA"
"dependent.var18","doc_legale_nb_hommes","ig_8_statut_groupe",NA,"hote",0.693909344890849,NA,NA,NA,"admin_0","RCA"
"dependent.var19","doc_legale_nb_hommes","ig_8_statut_groupe",NA,"retournes",0.513793644158149,NA,NA,NA,"admin_0","RCA"
"dependent.var25","doc_legale_nb_hommes","ig_8_statut_groupe",NA,"deplaces_site",0.467764096859334,NA,NA,NA,"admin_0","RCA"
"dependent.var35","doc_legale_nb_hommes","ig_8_statut_groupe",NA,"deplaces_FA",0.70236843328489,NA,NA,NA,"admin_0","RCA"
"140","doc_propriete","ig_8_statut_groupe","aucun","deplaces_FA",0.626273287122261,NA,NA,NA,"admin_0","RCA"
"223","doc_propriete","ig_8_statut_groupe","complet","deplaces_FA",0.0533722544302893,NA,NA,NA,"admin_0","RCA"
"323","doc_propriete","ig_8_statut_groupe","incomp","deplaces_FA",0.32035445844745,NA,NA,NA,"admin_0","RCA"
"422","doc_propriete","ig_8_statut_groupe","aucun","deplaces_site",0.724714246014624,NA,NA,NA,"admin_0","RCA"
"522","doc_propriete","ig_8_statut_groupe","complet","deplaces_site",0.0130055295571885,NA,NA,NA,"admin_0","RCA"
"622","doc_propriete","ig_8_statut_groupe","incomp","deplaces_site",0.262280224428187,NA,NA,NA,"admin_0","RCA"
"721","doc_propriete","ig_8_statut_groupe","aucun","hote",0.566435712833056,NA,NA,NA,"admin_0","RCA"
"821","doc_propriete","ig_8_statut_groupe","complet","hote",0.0778945942015636,NA,NA,NA,"admin_0","RCA"
"917","doc_propriete","ig_8_statut_groupe","incomp","hote",0.35566969296538,NA,NA,NA,"admin_0","RCA"
"1016","doc_propriete","ig_8_statut_groupe","aucun","retournes",0.487013294275956,NA,NA,NA,"admin_0","RCA"
"1116","doc_propriete","ig_8_statut_groupe","complet","retournes",0.0738115300782264,NA,NA,NA,"admin_0","RCA"
"1215","doc_propriete","ig_8_statut_groupe","incomp","retournes",0.439175175645818,NA,NA,NA,"admin_0","RCA"
"142","semence","ig_8_statut_groupe","aucun","deplaces_FA",0.53038660977406,NA,NA,NA,"admin_0","RCA"
