VillageAll,GPS.point,admin1Name,admin1Pcod,admin2,admin2Pcod,admin3Name,admin3Pcod,TotalPop_fixe
 Balidou 1,"21.00214,4.670809",Basse-Kotto,CF61,Zangba,CF615,Ouambé,CF6151,313.09075
 Bamara-KassaÂ´,"18.384626,7.386166",Ouham,CF32,Batangafo,CF326,Ouassi,CF3264,1009.834259
 Bambarassa,"22.7614659999999,4.82055",Mbomou,CF62,Bangassou,CF621,Sayo Niakari,CF6212,879.702927
 Bamina,"15.6587169999999,3.404509",Sangha-Mbaéré,CF23,Nola,CF231,Bilolo,CF2312,1400.827224
 Bananga,"16.8265579999999,7.195985",Ouham,CF32,Nangha Boguila,CF324,Nangha Boguila,CF3241,867.303785
 Banda,"21.7507179999999,4.344466",Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161,4549.799955
 Banda Mbi,"19.799568,5.118846",Kémo,CF41,Ndjoukou,CF414,Galabadja,CF4142,1474.924437
 Banda-Fara,"21.29391,4.498012",Basse-Kotto,CF61,Mobaye,CF611,Mbéima,CF6112,1276.949721
 Bando,"21.071918,5.161923",Basse-Kotto,CF61,Alindao,CF612,Bangui-Ketté,CF6123,952.618862
 Banga,"19.8724139999999,5.090039",Kémo,CF41,Ndjoukou,CF414,Galabadja,CF4142,620.301891
 Banga 1,"19.464092,5.784245",Kémo,CF41,Sibut,CF411,Ngoumbele,CF4112,529.988674
 Bango 2,"19.6511479999999,5.169203",Kémo,CF41,Ndjoukou,CF414,Galabadja,CF4142,1098.32316
 Bangoto,"16.748908,3.962393",Sangha-Mbaéré,CF23,Bambio,CF232,Mbaéré,CF2321,399.756448
 Bangui 2e,"18.560752,4.360586",Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,172891.8713
 Bangui 3e,"18.540327,4.374509",Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,214046.2964
 Bangui 4e,"18.5608059999999,4.406503",Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,119108.4638
 Bangui 5e,"18.5467769999999,4.385571",Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,47025.23337
