OBJECTID,VillageAll,PC_DTM,PC_OCHA,PC_UNK,GPS_Source,Duplicate,DuplicatPC,Relation,DataSource,FB_POP,UrbanRural,POINT_X,POINT_Y,admin0Name,admin0Pcod,admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin3Name,admin3Pcod,idps,hh_idp,ind_idp,abris_pdi_,abris_pdi1,retournes,hh_ret_rca,ind_ret_rc,abris_ret_,abris_ret1,retournes_,hh_ret_oth,ind_ret_ot,abris_reto,abris_re_1,TotalPop
2109, Ngaba 3, ,61310022, , SIGCAF, ,, , SIGCAF,850.7931125,Rural,21.915468,4.51809,Central African Republic,CF,Basse-Kotto,CF61,Kembé,CF613,Kembé,CF6131, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,850.7931125
822, Ngabongo, ,21410036, , SIGCAF, ,, , SIGCAF,773.5522548,Rural,15.164505,4.903163,Central African Republic,CF,Mambéré-Kadéï,CF21,Amada-Gaza,CF214,Haute-Boumbé,CF2141, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,773.5522548
856, Ngaboua, ,21710038, , SIGCAF, ,, , SIGCAF,2613.792231,Rural,16.458485,4.848818,Central African Republic,CF,Mambéré-Kadéï,CF21,Gadzi,CF217,Topia,CF2171, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,2613.792231
1938, Ngadio, ,43520049, , SIGCAF, ,, , SIGCAF,909.9766712,Rural,21.44202,6.338858,Central African Republic,CF,Ouaka,CF43,Ippy,CF435,Yéngou,CF4352, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,909.9766712
940, Ngaguene, ,22150038, , SIGCAF, ,, , SIGCAF,759.7987119,Rural,15.398217,6.052824,Central African Republic,CF,Nana-Mambéré,CF22,Bouar,CF221,Yénga,CF2215, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,759.7987119
2155, Ngai, ,61510061, , SIGCAF, ,, , SIGCAF,452.2421944,Rural,20.845424,4.536872,Central African Republic,CF,Basse-Kotto,CF61,Zangba,CF615,Ouambé,CF6151, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,452.2421944
2045, Ngala, ,61120095, , SIGCAF, ,, , SIGCAF,625.619662,Rural,21.282124,4.576218,Central African Republic,CF,Basse-Kotto,CF61,Mobaye,CF611,Mbéima,CF6112, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,625.619662
2046, Ngale-Doumounou, ,61120099, , SIGCAF, ,, , SIGCAF,325.6650295,Rural,21.092694,4.525771,Central African Republic,CF,Basse-Kotto,CF61,Mobaye,CF611,Mbéima,CF6112, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,325.6650295
2078, Ngalia, ,61230029, , SIGCAF, ,, , SIGCAF,270.3623769,Rural,21.0541,5.20512,Central African Republic,CF,Basse-Kotto,CF61,Alindao,CF612,Bangui-Ketté,CF6123, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,270.3623769
2110, Ngalia, ,61310023, , SIGCAF, ,, , SIGCAF,583.6018871,Rural,21.7633,4.610944,Central African Republic,CF,Basse-Kotto,CF61,Kembé,CF613,Kembé,CF6131, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,583.6018871
1312, Ngambay, ,32110002, , SIGCAF, ,, , WRI,7112.555819,Urban,17.44732512,6.49239201,Central African Republic,CF,Ouham,CF32,Bossangoa,CF321,Bossangoa,CF3211, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,7112.555819
982, Ngamongo, ,22310038, , SIGCAF, ,, , SIGCAF,534.8690724,Rural,14.909646,5.823615,Central African Republic,CF,Nana-Mambéré,CF22,Baboua,CF223,Baboua,CF2231, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,534.8690724
