"","theloopcount","wash_6_volume_recipient","wash_7_frequence_recipient","volume_total_par_recipient","X_index","X_parent_table_name","X_parent_index","X_submission__id","X_submission__uuid","X_submission__submission_time","X_submission__validation_status","MERGED_FROM_FILE"
"109",3,20,1,20,109,"Questionnaire MSNA - HH",15,60239428,"368f1e90-5a3f-4e91-b966-5c666eb2ffd2","2019-07-01T16:46:19",NA,"loop_bidons_test_OK_0701"
"110",4,20,1,20,110,"Questionnaire MSNA - HH",15,60239428,"368f1e90-5a3f-4e91-b966-5c666eb2ffd2","2019-07-01T16:46:19",NA,"loop_bidons_test_OK_0701"
"111",5,20,1,20,111,"Questionnaire MSNA - HH",15,60239428,"368f1e90-5a3f-4e91-b966-5c666eb2ffd2","2019-07-01T16:46:19",NA,"loop_bidons_test_OK_0701"
"112",1,20,1,20,112,"Questionnaire MSNA - HH",16,60239424,"058b16b6-8b09-4a95-83bf-83c2273ce31a","2019-07-01T16:46:15",NA,"loop_bidons_test_OK_0701"
"113",2,20,1,20,113,"Questionnaire MSNA - HH",16,60239424,"058b16b6-8b09-4a95-83bf-83c2273ce31a","2019-07-01T16:46:15",NA,"loop_bidons_test_OK_0701"
"114",3,20,1,20,114,"Questionnaire MSNA - HH",16,60239424,"058b16b6-8b09-4a95-83bf-83c2273ce31a","2019-07-01T16:46:15",NA,"loop_bidons_test_OK_0701"
"115",4,20,1,20,115,"Questionnaire MSNA - HH",16,60239424,"058b16b6-8b09-4a95-83bf-83c2273ce31a","2019-07-01T16:46:15",NA,"loop_bidons_test_OK_0701"
"116",1,20,1,20,116,"Questionnaire MSNA - HH",17,60239242,"3e99cc1e-98e3-4532-a868-7f58a93731fb","2019-07-01T16:43:29",NA,"loop_bidons_test_OK_0701"
"117",2,25,1,25,117,"Questionnaire MSNA - HH",17,60239242,"3e99cc1e-98e3-4532-a868-7f58a93731fb","2019-07-01T16:43:29",NA,"loop_bidons_test_OK_0701"
"118",3,20,1,20,118,"Questionnaire MSNA - HH",17,60239242,"3e99cc1e-98e3-4532-a868-7f58a93731fb","2019-07-01T16:43:29",NA,"loop_bidons_test_OK_0701"
"119",4,20,1,20,119,"Questionnaire MSNA - HH",17,60239242,"3e99cc1e-98e3-4532-a868-7f58a93731fb","2019-07-01T16:43:29",NA,"loop_bidons_test_OK_0701"
"120",5,20,1,20,120,"Questionnaire MSNA - HH",17,60239242,"3e99cc1e-98e3-4532-a868-7f58a93731fb","2019-07-01T16:43:29",NA,"loop_bidons_test_OK_0701"
"121",6,20,1,20,121,"Questionnaire MSNA - HH",17,60239242,"3e99cc1e-98e3-4532-a868-7f58a93731fb","2019-07-01T16:43:29",NA,"loop_bidons_test_OK_0701"
"122",7,20,1,20,122,"Questionnaire MSNA - HH",17,60239242,"3e99cc1e-98e3-4532-a868-7f58a93731fb","2019-07-01T16:43:29",NA,"loop_bidons_test_OK_0701"
"123",8,20,1,20,123,"Questionnaire MSNA - HH",17,60239242,"3e99cc1e-98e3-4532-a868-7f58a93731fb","2019-07-01T16:43:29",NA,"loop_bidons_test_OK_0701"
"124",9,20,1,20,124,"Questionnaire MSNA - HH",17,60239242,"3e99cc1e-98e3-4532-a868-7f58a93731fb","2019-07-01T16:43:29",NA,"loop_bidons_test_OK_0701"
"125",10,20,1,20,125,"Questionnaire MSNA - HH",17,60239242,"3e99cc1e-98e3-4532-a868-7f58a93731fb","2019-07-01T16:43:29",NA,"loop_bidons_test_OK_0701"
